,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.79,5.399066467,0.915728599,2.137478545,-2.579446765,-29.86197001,96.38609329,1,1,1,0,0,1
result.80,6.697111103,0.836887975,2.737192105,1.005938141,1.696091113,106.3782297,1,1,1,1,1,1
result.81,4.805098477,0.908588677,3.59895332,-0.020529215,-3.963812114,104.6122535,1,1,1,1,1,1
result.82,5.665959613,0.908614562,3.188393842,-0.360027392,-5.464787612,92.80945062,1,1,1,1,1,1
result.83,4.303195981,0.958342182,1.80439047,-2.401290718,-25.64563685,87.1159838,1,0,1,1,1,0
result.84,5.233991868,0.915388574,3.241688434,-0.349303483,-5.405848671,98.54276418,1,1,1,1,1,1
result.85,2.979115164,0.983754965,2.124225565,-2.49608911,-30.45372253,97.09977756,1,0,1,1,1,1
result.86,4.897719868,0.892877921,3.759747312,-2.491795164,-22.21286452,103.1450482,1,1,1,0,0,1
result.87,4.869271656,0.926688668,3.018662857,-0.336538915,-6.807475718,91.52691117,1,1,1,1,1,1
result.88,5.915731882,0.87014971,2.706780878,0.481027202,-1.703258013,95.88847372,1,1,1,1,1,1
result.89,5.305572429,0.89514545,4.65397458,-3.049360052,-27.55594466,94.40507045,1,1,1,1,1,1
result.90,6.223228559,0.944008597,3.185937662,-1.268544275,-9.83747767,98.5565227,1,1,1,1,1,1
result.91,5.124630951,0.872054666,3.570466316,-2.625079965,-26.41707872,103.1572762,1,1,1,0,0,1
result.92,6.190585116,0.85364753,3.223165171,0.26345346,-4.339969632,108.5132458,1,1,1,1,1,1
result.93,4.45251882,0.871670944,1.753816361,-2.578716458,-26.0018479,95.35593743,1,1,1,0,0,1
result.94,4.68081267,0.883745647,4.190587301,0.128166228,-6.03259621,108.5012238,1,1,0,1,0,1
result.95,4.792728525,0.933407308,2.817054407,-2.551669761,-29.25662116,102.1752417,1,1,1,0,1,1
