,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.118,6.757610371,0.930013385,1.373143959,-2.490723553,-25.02666307,93.91132567,1,1,1,1,1,1
result.119,5.254254906,0.934158043,4.056790714,-3.145543535,-29.78883994,98.56997048,1,1,1,1,1,1
result.120,4.321070749,0.956988485,2.220978763,-1.429418404,-15.92649682,93.01920925,1,0,1,1,1,1
result.121,6.72759164,0.810914939,2.438694755,-2.469013771,-24.20114735,112.8795482,1,1,1,0,0,0
result.122,5.034265935,0.922860713,1.898461171,0.218155458,5.62264349,100.0391617,1,1,1,1,1,1
result.123,5.513218703,0.882275221,2.520714778,0.906117407,3.994612449,96.50369618,1,1,1,1,1,1
result.124,6.742641001,0.902785323,2.14442511,-0.158076504,-3.206195659,97.4296765,1,1,1,1,1,1
result.125,4.66436111,0.896934553,3.577345429,-2.66982707,-26.22795841,107.2495934,1,1,1,0,0,1
result.126,3.971633214,0.909451287,3.003778007,-2.392243682,-26.53922574,98.10249325,1,1,1,0,0,1
result.127,6.797704276,0.841723146,2.735469956,-2.589552767,-26.37626482,102.4266257,1,1,1,0,0,1
result.128,4.749525604,0.92157632,3.241165845,-2.674483079,-27.9696234,93.96127576,1,1,1,0,1,1
result.129,4.135383758,0.892485719,3.209058328,-2.509600318,-25.6045578,101.4092282,1,1,1,0,0,1
result.130,4.135102039,0.896591036,3.389291482,-2.444144485,-25.60109342,98.70521666,1,1,1,0,0,1
result.131,3.524325661,0.997676055,3.622808086,-1.804536317,-13.50791758,98.91028192,1,0,1,1,1,1
result.132,5.609185104,0.871822146,4.448842469,-2.905497935,-25.0169406,98.35668108,1,1,1,1,1,1
result.133,5.024087043,0.865751641,3.627860427,-2.600376445,-25.31351031,97.80278106,1,1,1,0,0,1
result.134,5.222891591,0.932573566,3.011876217,-0.955872825,-8.854771553,98.56703615,1,1,1,1,1,1
result.135,5.42818683,0.906710875,3.994032993,-0.202979517,-3.713946207,111.0402203,1,1,1,1,1,1
result.136,4.139688871,0.965203406,2.824087122,-1.145616296,-6.562738646,104.9198819,1,0,1,1,1,1
result.137,6.240748645,0.918062291,2.006361697,-0.441829169,-5.150996314,101.3338767,1,1,1,1,1,1
result.138,4.876200038,0.806114461,4.255423665,-2.774798532,-24.23500993,103.0867006,1,1,1,0,0,1
result.139,4.923873687,0.943791302,2.447137769,-0.553430752,-2.955445637,101.5739705,1,1,1,1,1,1
result.140,4.799419852,0.791730438,3.012488578,-2.586451754,-24.53832087,106.6847262,1,1,1,0,0,1
result.141,6.06377848,0.875517717,2.46651495,0.941353612,7.783347954,112.1674696,1,1,1,1,1,1
result.142,4.758239954,0.904641394,2.800397424,-2.387362827,-23.37513439,103.5413648,1,1,1,0,0,1
result.143,3.210383232,0.989232224,3.729264218,-1.734172203,-14.3603894,94.17527386,1,0,1,1,1,1
result.144,4.655832465,0.926714,3.158017205,-0.408611843,-5.619345174,98.12054079,1,1,1,1,1,1
result.145,4.238003005,0.98020405,3.824385209,-1.441805147,-10.26083039,99.16493959,1,0,1,1,1,1
result.146,4.759992722,0.934189097,3.535636701,-0.516180031,-6.673597206,97.40566898,1,1,1,1,1,1
result.147,4.895195351,0.864458899,4.357852873,-0.042181591,-10.933826,97.65755108,1,1,0,1,0,1
result.148,4.245933924,0.927926268,3.134289069,-0.19390948,-4.574587901,94.95594609,1,1,1,1,1,1
result.149,4.415425746,0.835168132,2.358010014,-2.051656618,-24.36449828,108.744933,1,1,1,0,0,1
result.150,4.556826272,0.943229059,2.477430344,-0.767168818,-3.309801747,102.9186006,1,1,1,1,1,1
result.151,5.848791629,0.872731065,2.172846291,-2.43963342,-26.0346244,103.6078432,1,1,1,0,0,1
result.152,5.348426314,0.925159724,4.434769401,-0.579858095,-9.978022785,100.5061516,1,1,1,1,1,1
result.153,6.237635814,0.912284018,2.573287336,-0.343167634,-2.088805741,102.414309,1,1,1,1,1,1
result.154,3.778671629,0.872438564,3.596633044,-2.400969769,-24.52263688,101.8750951,1,1,1,0,0,1
result.155,6.338311776,0.910532715,2.692197885,-0.63288834,-8.739836831,95.70529415,1,1,1,1,1,1
result.156,3.840901027,0.862936184,3.143019266,-2.445321029,-23.12531332,102.0629778,1,1,1,0,0,1
result.157,4.49721723,0.939206567,3.680992848,-1.918949296,-16.38829331,102.3551538,1,1,1,1,1,1
result.158,5.504680002,0.939626199,3.354510398,-0.859306098,-8.105475449,106.5674955,1,1,1,1,1,1
result.159,3.555595658,0.982464095,3.044789253,-1.581262301,-12.45933436,93.80234622,1,0,1,1,1,1
result.160,4.005158741,0.944945052,3.537095651,-0.496915154,-6.716356115,98.65153082,1,1,1,1,1,1
result.161,4.307222111,0.950939163,3.342315462,-1.65300443,-14.31328654,100.65406,1,0,1,1,1,1
result.162,5.138531935,0.883380864,3.26995023,-2.884539881,-27.16038484,99.29712996,1,1,1,0,0,1
result.163,6.523000462,0.872190912,2.149580738,-2.320488297,-26.19967101,104.746271,0,1,1,0,0,1
result.164,3.987846752,0.938900999,2.59199214,-2.008833736,-19.75810286,98.46761041,1,1,1,0,0,1
result.165,5.74329244,0.912861011,3.004834692,-0.636922039,-6.638070029,101.7756389,1,1,1,1,1,1
result.166,4.210586622,0.93095306,4.368340193,-2.686532993,-28.5152148,107.2658657,1,1,1,1,1,1
result.167,4.821454491,0.852064913,2.734270351,-2.287796161,-25.81552621,94.49739481,1,1,1,0,0,1
result.168,3.966579465,0.917096368,3.225587344,-2.242634106,-23.40659258,106.7654737,1,1,1,0,0,1
result.169,4.679060354,0.844288287,3.221214216,-2.32253328,-24.84450985,103.0822401,1,1,1,0,0,1
result.170,4.183428211,0.878051896,3.026143081,-2.171640399,-25.4491997,101.1298997,1,1,1,0,0,1
result.171,4.883359794,0.949786376,3.2819111,-1.034567657,-10.31997261,94.26441684,1,1,1,1,1,1
result.172,5.532879774,0.821668178,2.913453158,-2.41811695,-25.25372506,106.3224366,1,1,1,0,0,1
result.173,4.268575929,0.910013988,3.151671502,-2.498731659,-27.26777414,105.9203935,1,1,1,0,0,1
result.174,5.44240779,0.912601017,1.919196669,-2.53639591,-25.0355997,107.3770361,1,1,1,0,0,1
result.175,5.659806312,0.910671796,1.637203733,-2.516801541,-25.49202027,98.99565617,1,1,1,0,0,1
result.176,4.257558161,0.927085361,3.646880666,-0.112747504,-5.391340594,104.3645721,1,1,1,1,1,1
result.177,4.278833733,0.947790414,3.196721156,-0.589672726,-1.289404931,105.6603625,1,1,1,1,1,1
result.178,4.521272603,0.925777387,3.089467922,-2.428884115,-25.75425997,90.77326976,1,1,1,1,1,0
result.179,3.834428156,0.849798395,2.722873545,-2.311174892,-23.46013666,106.0934239,1,1,1,0,0,1
result.180,4.587568825,0.920273864,3.819137382,-2.742685174,-26.14791838,107.9675847,1,1,1,0,0,1
result.181,4.897753837,0.945848388,2.604405429,-0.792509647,-4.572481445,91.04453303,1,1,1,1,1,1
result.182,5.046651547,0.869830204,2.650956244,-2.264698908,-26.60108299,107.0791235,1,1,1,0,0,1
result.183,3.757945736,0.924644333,2.999815064,-2.384389382,-24.52575867,93.19159135,1,1,1,0,0,1
result.184,4.925059833,0.933954288,4.198882002,-0.679975234,-8.264200233,89.61351855,1,1,1,1,1,0
result.185,6.393043182,0.801469687,2.251289511,-2.142151994,-24.31074542,103.0071125,1,1,1,0,0,1
result.186,5.602888948,0.920614696,1.936294998,-2.122540894,-22.97018327,91.93590539,1,1,1,0,1,1
result.187,5.148896803,0.883237593,2.00092677,-2.371478438,-25.62673705,105.0310524,1,1,1,0,0,1
result.188,5.764785769,0.914947334,3.420519298,-0.53175022,-7.671321819,95.03862858,1,1,1,1,1,1
result.189,5.456961021,0.893899226,4.106081555,-0.397381184,-8.703652945,96.73628641,1,1,1,1,1,1
result.190,6.77739384,0.898378088,2.230136289,-0.678084656,-10.45825508,96.93595524,1,1,1,1,1,1
result.191,4.754137965,0.867609233,3.478552775,-2.25877708,-25.19153876,97.49438721,1,1,1,0,0,1
result.192,6.236744254,0.923175664,2.245850096,-0.644618518,-5.708805715,93.82451733,1,1,1,1,1,1
result.193,4.04134522,0.88443622,3.278563606,-2.401444247,-24.76683888,95.39305097,1,1,1,0,0,1
result.194,4.941010829,0.821883755,3.88657728,-2.491521149,-25.08076594,105.6043948,1,1,1,0,0,1
result.195,6.502463721,0.822833615,2.872185479,-2.411485415,-26.09704754,111.5201244,1,1,1,0,0,0
result.196,5.526765247,0.903339586,3.896220557,-0.328785206,-7.876524661,94.37874877,1,1,1,1,1,1
result.197,5.783897547,0.914885197,2.307462661,-2.543557848,-28.98363177,103.6410703,1,1,1,0,0,1
result.198,4.758086435,0.889444851,3.346674456,-2.529513322,-25.27392435,87.66061128,1,1,1,0,0,0
result.199,6.053547159,0.951893936,2.863708973,-1.204547583,-9.198398968,94.00678126,1,0,1,1,1,1
result.200,5.487593272,0.874257912,2.077325202,-2.339951237,-25.0954375,97.82503744,1,1,1,0,0,1
result.201,4.414231105,0.901286522,3.139094426,-2.450727405,-27.08481794,99.72889237,1,1,1,0,0,1
result.202,3.419870295,0.959716072,2.400939123,-1.531557292,-14.6463541,96.8736351,0,0,1,1,1,1
result.203,5.046623287,0.88095172,2.366738702,-2.016893561,-24.46538712,106.5032273,1,1,1,0,0,1
result.204,5.460524897,0.915488625,3.714390224,-2.986589202,-31.51787019,99.76794193,1,1,1,1,1,1
result.205,4.749206113,0.805843378,2.673686397,-2.522808684,-23.03749779,107.5589812,1,1,1,0,0,1
result.206,6.286478848,0.916446214,2.484223011,-2.631554962,-23.47157731,97.89881458,1,1,1,1,1,1
result.207,3.904061857,0.948191163,2.202407127,-2.165333969,-22.66032187,101.474045,1,1,1,0,0,1
result.208,5.149957736,0.903374768,2.340724008,1.272075317,10.59979073,95.65644616,1,1,1,1,1,1
result.209,6.456206155,0.943345427,2.344864948,-1.512425056,-14.92174573,92.71934277,1,1,1,1,1,1
result.210,5.214423117,0.914782602,2.109276955,0.855836381,12.89048134,109.3097243,1,1,1,1,1,1
result.211,4.374952701,0.883641519,3.221965559,-2.758815385,-26.07216386,102.2061341,1,1,1,0,0,1
result.212,4.397257633,0.859670651,4.689150909,-2.840975418,-28.30116145,102.993668,1,1,0,0,0,1
result.213,4.470066146,0.922387713,3.422043387,-2.56882179,-26.69246685,99.33510445,1,1,1,0,0,1
result.214,4.576574212,0.92973687,3.69403906,-0.379543389,-3.273003586,100.3259171,1,1,1,1,1,1
result.215,5.759339149,0.873955638,3.281318411,-0.011315641,-5.204019136,99.45123245,1,1,1,1,1,1
result.216,4.993426046,0.871424217,2.594650331,-2.365982232,-25.88816956,99.02787224,1,1,1,0,0,1
result.217,4.527277032,0.958270048,3.40132982,-1.25020904,-9.582420896,99.24709358,1,0,1,1,1,1
result.218,5.515188019,0.830985362,2.563005745,-2.288798212,-22.04779402,102.1888407,1,1,1,0,0,1
result.219,4.589050456,0.91285748,3.489175419,-2.383191861,-24.45089082,100.4948224,1,1,1,0,0,1
result.220,4.871855239,0.90988367,2.629428618,-2.472906062,-26.77813919,91.43814186,1,1,1,0,0,0
result.221,4.914610742,0.942629693,3.2207169,-1.583741137,-13.56166957,96.84673629,1,1,1,1,1,1
result.222,6.482120121,0.883652115,2.844869957,-0.11301903,-2.832772975,103.5157361,1,1,1,1,1,1
result.223,4.753604533,0.958767481,1.962369806,-1.002275519,-9.77598833,99.19258245,1,0,1,1,1,1
result.224,6.181834813,0.885647869,3.103013046,-2.85912817,-29.80216074,102.4276443,1,1,1,0,0,1
result.225,5.882326853,0.892174494,2.945624081,-2.675688126,-26.74082989,102.1386509,1,1,1,0,0,1
result.226,4.717747121,0.891184059,2.342438949,-2.053274279,-24.06583389,100.3547615,1,1,1,0,0,1
result.227,4.176249328,0.896071303,2.424386789,-2.529045887,-24.63317987,93.80208969,1,1,1,0,0,1
result.228,3.102612613,0.936031483,3.801221495,-2.275807857,-22.77141686,97.1621994,0,1,1,0,0,1
result.229,5.843217149,0.877180758,2.527922044,-2.486059034,-27.82672085,101.8968721,1,1,1,0,0,1
result.230,5.362225169,0.953397375,2.690313489,-2.082618169,-20.78902715,94.85788504,1,0,1,1,1,1
result.231,4.320461498,0.913218692,3.627866158,0.320684594,-2.097706522,97.88193973,1,1,1,1,1,1
result.232,5.558870866,0.825173711,3.064960793,-2.349967785,-24.22937898,117.2017136,1,1,1,0,0,0
result.233,5.972729283,0.889764191,3.56268408,-0.224217112,-6.348330162,96.65990647,1,1,1,1,1,1
result.234,5.166486806,0.971611719,2.61359297,-1.43161494,-10.90976275,98.92716562,1,0,1,1,1,1
result.235,3.942397114,0.958246795,2.634212542,-0.273522963,1.583561898,99.33108269,1,0,1,1,1,1
result.236,5.845495881,0.87195463,2.88032992,-2.715031868,-28.19840844,88.76320824,1,1,1,0,0,0
result.237,6.164502355,0.84059758,3.748714335,-2.825343516,-27.42912069,114.1316541,1,1,1,0,0,0
result.238,4.593753032,0.871430494,1.991440347,-2.276746911,-25.20100872,107.0696034,1,1,1,0,0,1
result.239,6.030233602,0.893449086,3.583052277,-2.919969189,-30.0545522,103.511186,1,1,1,1,1,1
result.240,4.706213684,0.837459891,3.446070772,-2.443946555,-26.09725645,103.8541602,1,1,1,0,0,1
result.241,6.183351029,0.92706156,2.910769503,-0.685171744,-9.097539885,99.33464661,1,1,1,1,1,1
result.242,3.77451554,0.84720988,4.223684722,-2.448699743,-26.28301362,106.9167342,1,1,0,0,0,1
result.243,5.323395702,0.92394222,5.509936019,-0.83879667,-9.281315741,90.12212003,1,1,1,1,1,0
result.244,5.132681738,0.879667365,3.066244321,-2.435240109,-26.56926804,110.7863316,1,1,1,0,0,0
result.245,5.617539827,0.917179724,3.141494803,-0.554233803,-9.476786447,97.29773094,1,1,1,1,1,1
result.246,4.542557937,0.895127454,3.347695877,-2.540120731,-26.03823407,97.82178782,1,1,1,0,0,1
result.247,5.263156453,0.891583746,2.629115486,1.214214956,7.357659831,100.4203437,1,1,1,1,1,1
result.248,6.991540798,0.84969874,3.662128842,-3.142467714,-28.82276864,100.4628469,1,1,1,0,0,1
result.249,4.766198807,0.924493534,2.588760985,-2.346597558,-24.48469114,101.977376,1,1,1,0,0,1
result.250,4.617377527,0.971511155,2.510473917,-1.771833418,-13.42548477,93.39778173,1,0,1,1,1,1
result.251,4.227910214,0.917308756,3.006716842,-2.391095252,-24.70395378,97.17072723,1,1,1,0,0,1
result.252,4.360474875,0.956145725,2.79376967,-1.206214902,-10.11477077,101.9252587,1,0,1,1,1,1
result.253,6.066967033,0.896955749,1.013195523,-2.62378888,-25.79914015,105.4857433,1,1,1,0,0,1
result.254,5.479092745,0.939998557,2.184472672,-1.041422719,-7.069912615,99.01558522,1,1,1,1,1,1
result.255,5.640617736,0.860097287,3.735474491,-3.022667753,-27.27652525,102.4589036,1,1,1,0,0,1
result.256,6.34732798,0.84234762,3.082826262,-2.598064696,-26.77076185,100.5958425,1,1,1,0,0,1
result.257,3.784006311,0.939967701,2.358230796,-2.271414872,-25.48771091,98.66374125,1,1,1,0,0,1
result.258,4.656682995,0.921655326,2.956850173,-2.536557734,-26.57218187,101.2014509,1,1,1,0,0,1
result.259,3.955828228,0.85128221,2.554993445,-2.069705733,-23.63756367,97.50691728,1,1,1,0,0,1
result.260,4.948699593,0.947386947,3.314985834,-0.613730642,-5.212521128,104.784127,1,1,1,1,1,1
result.261,5.034349772,0.944575669,2.78800023,-2.976125748,-31.97712397,105.733861,1,1,1,0,0,1
result.262,4.830491731,0.941416834,3.275820905,-0.460464843,-6.032419896,96.0392857,1,1,1,1,1,1
result.263,3.034564082,0.859898499,2.951824623,-2.488855248,-27.12283845,97.94228249,1,1,1,0,0,1
result.264,6.445373505,0.914517332,3.767483969,-0.830358409,-11.20419254,96.30675738,1,1,1,1,1,1
result.265,4.890380096,0.893594237,3.081840589,0.4084428,-0.96762051,98.57323383,1,1,1,1,1,1
result.266,4.525783596,0.87126365,3.709104154,-2.532862707,-25.48961886,96.84836844,1,1,1,0,0,1
result.267,3.71264281,0.980783584,2.634339049,-2.040579379,-20.06333326,91.64714038,1,0,1,1,1,1
result.268,4.825877017,0.92526698,2.860633389,0.06932773,0.182375124,96.9540584,1,1,1,1,1,1
result.269,3.943812575,0.890521302,2.475030596,-2.140118888,-24.24694277,109.9425084,1,1,1,0,0,1
result.270,3.477900373,0.942853658,2.729519925,-2.351079331,-24.15268469,93.80014722,1,1,1,0,0,1
result.271,5.198071651,0.950996404,5.026300237,-0.977902914,-9.194530923,96.58532297,1,1,1,1,1,1
result.272,4.109038347,0.949769058,4.051601139,-2.258943878,-25.07502516,109.3200909,1,0,1,1,1,1
result.273,5.271019093,0.909371514,0.45065226,-2.47255015,-29.28166246,95.0079814,1,1,1,0,0,1
result.274,7.510206298,0.847105388,3.82407293,-0.287513737,-8.068856227,103.8846045,1,1,1,1,1,1
result.275,5.730735723,0.975664251,4.757725899,-1.503495235,-13.20728015,101.232252,1,0,1,1,1,1
result.276,5.454134579,0.860950635,3.506704459,1.534154243,4.587435676,102.5607653,1,1,1,1,1,1
result.277,5.374529999,0.886448485,4.035123463,-0.209126736,-7.933085788,91.72610382,1,1,1,1,1,1
result.278,4.662706841,0.895021408,3.69938013,0.395307618,-2.955450992,111.2883437,1,1,1,1,1,0
result.279,5.330154413,0.899312354,3.477247265,-0.013751182,-4.476738044,105.6701459,1,1,1,1,1,1
result.280,4.74671302,0.882482065,3.202753301,0.87200414,-0.21205777,96.08902568,1,1,1,1,1,1
result.281,4.977115116,0.867715363,3.458790835,0.402199749,-5.137992914,97.21241081,1,1,1,1,0,1
result.282,7.292932652,0.850883315,2.508269968,-2.670091456,-26.11862278,100.3840066,0,1,1,0,0,1
result.283,6.009018975,0.897702127,1.670088155,-2.37577981,-24.61570936,103.6418482,1,1,1,0,0,1
result.284,4.99317479,0.941322175,2.665473786,-0.656348733,-5.192125954,99.43671006,1,1,1,1,1,1
result.285,3.747765531,0.942407379,3.898172675,-0.165194018,-5.40472876,97.56968648,1,1,1,1,1,1
result.286,3.995390515,0.915868656,2.671927164,-2.309617003,-26.39477403,107.8564205,1,1,1,0,0,1
result.287,5.141617025,0.912897278,3.068978098,-2.760828444,-28.59007034,92.3634248,1,1,1,0,0,1
result.288,5.083443202,0.932532079,2.174213785,-2.480898934,-25.76755345,91.04735712,1,1,1,1,1,1
result.289,4.61059285,0.790386899,3.100217308,-2.228601761,-23.92734256,102.7341461,1,1,1,0,0,1
result.290,4.932359991,0.857817355,2.486372982,-2.481958378,-25.96922323,100.7917488,1,1,1,0,0,1
result.291,5.51108102,0.950253355,2.732370271,-1.161363672,-11.29234996,90.893591,1,0,1,1,1,0
result.292,4.533328378,0.935904134,2.995390173,-1.896135783,-20.78911979,90.20859651,1,1,1,1,1,0
result.293,5.67023975,0.920188711,2.702565928,-2.635559796,-25.57231209,98.60556616,1,1,1,1,1,1
result.294,5.566173085,0.93582514,2.78551777,-0.911752665,-5.910009296,91.37359256,1,1,1,1,1,1
result.295,3.181134273,0.925385893,3.597283689,-2.644700477,-26.01890542,110.9111515,1,1,1,0,0,0
result.296,3.597643221,0.898979228,2.507265982,-2.242561752,-27.95625172,96.18954837,1,1,1,0,0,1
result.297,5.598114227,0.931800536,3.305041466,-1.625990791,-14.1523928,98.62131699,1,1,1,1,1,1
result.298,6.698378458,0.891488692,2.044143007,-0.31757073,-3.873410071,87.03723415,1,1,1,1,1,0
result.299,4.194385932,0.877925347,3.810204448,-2.743397232,-27.56131649,104.6513353,1,1,1,0,0,1
result.300,5.695300879,0.873793376,2.354872915,-2.505196877,-26.65986978,98.33237911,1,1,1,0,0,1
result.301,5.192079424,0.881396495,3.557049829,-2.751676473,-26.19374893,96.49383502,1,1,1,0,0,1
result.302,4.816275133,0.947186901,3.189282769,-0.61822401,-3.485536929,98.90962659,1,1,1,1,1,1
result.303,4.469818553,0.914757042,2.2248689,-2.264372841,-27.43033774,96.61017802,1,1,1,0,0,1
result.304,6.271444834,0.781979557,4.02794125,0.215329227,-12.13198198,96.34030704,1,0,1,1,0,1
result.305,5.585284938,0.90525538,1.599132009,-2.276431355,-27.22536574,95.52598928,1,1,1,0,0,1
result.306,4.932843912,0.949937654,1.439717595,-0.519546537,-2.822866743,91.59517274,1,1,1,1,1,1
result.307,3.923390422,0.909733644,2.8681191,-2.416429583,-26.53566924,100.0515437,1,1,1,0,0,1
result.308,5.290622638,0.854442458,3.880617363,-2.506917408,-26.63567037,112.1093765,1,1,1,0,0,0
result.309,4.66262186,0.969108795,2.265624485,-1.861268395,-16.59503941,99.43611036,1,0,1,1,1,1
result.310,6.108179857,0.839420645,3.569628756,-2.966924992,-25.71393247,97.93547627,1,1,1,0,0,1
result.311,5.546087261,0.952968789,2.885621999,-0.812276535,-8.250959092,96.49462319,1,0,1,1,1,1
result.312,4.522120467,0.947017662,2.904138915,-0.471046402,-0.729741322,93.5356894,1,1,1,1,1,1
result.313,4.939144933,0.86818243,3.393271057,0.061906618,-7.204603717,95.14048171,1,1,1,0,0,1
result.314,3.220569133,0.818534034,3.841654437,-2.534562813,-25.69088139,106.8603711,1,1,1,0,0,1
result.315,3.568846395,0.973264529,3.748013599,-0.902407085,-6.199126161,99.90812148,1,0,1,1,1,1
result.316,4.429527305,0.881366316,2.264622671,-2.303284418,-25.70449781,101.4354283,1,1,1,0,0,1
result.317,2.946963886,0.972175463,2.314190324,0.018280973,12.88340896,103.2291483,0,0,1,1,1,1
result.318,4.948372337,0.922542394,1.666500351,0.717913677,10.0826594,90.90780615,1,1,1,1,1,0
result.319,3.916225332,0.965585802,2.745333442,-1.577090078,-13.71596767,100.8173958,1,0,1,1,1,1
result.320,3.468766215,0.952234175,0.994541938,-2.270459321,-22.91812532,89.76969556,1,0,1,0,0,1
result.321,4.907727499,0.917799887,2.546590569,0.021351523,-0.934091298,93.25071494,1,1,1,1,1,1
result.322,4.939807417,0.963097878,2.984538044,-1.442470801,-10.95982427,94.3710012,1,0,1,1,1,1
result.323,4.577349798,0.916404238,2.929697969,-2.378537093,-24.81312782,101.8806998,1,1,1,0,0,1
result.324,4.188540185,0.875644827,2.901174435,-2.262130051,-23.26570076,97.24314788,1,1,1,0,0,1
result.325,6.028890804,0.906746053,3.806039652,-3.081482412,-27.79401113,91.30505705,1,1,1,1,1,1
result.326,4.548981284,0.940706817,2.172650976,-2.704899271,-31.91276936,102.3632819,1,1,1,0,0,1
result.327,3.816578131,0.924059272,4.816531161,-0.018047648,-7.605969649,93.89197891,1,1,1,1,1,1
result.328,4.330827236,0.883235185,3.062220743,-2.509198481,-25.08307045,102.0318139,1,1,1,0,0,1
result.329,4.012613708,0.876360679,2.708868443,-2.126895063,-22.53811267,100.9173509,1,1,1,0,0,1
result.330,4.988053125,0.906405523,4.79010311,-3.200190585,-29.72708884,88.90025384,1,1,1,1,1,0
result.331,5.671911204,0.883795449,2.736011923,-2.45728623,-27.80809185,95.91756845,1,1,1,0,0,1
result.332,5.464189246,0.877621733,1.202590211,-2.269890377,-25.79120256,101.7374141,1,1,1,0,0,1
result.333,4.546939728,0.883559092,3.498264412,-2.545210485,-27.37219646,95.75688279,1,1,1,0,0,1
result.334,5.123162855,0.850876007,2.728029293,-2.276042547,-23.79728493,96.96961577,1,1,1,0,0,1
result.335,4.63592772,0.900302335,2.615420311,-2.256540699,-24.82780298,97.36545075,1,1,1,0,0,1
result.336,4.566848289,0.889543817,2.470667618,-2.318577578,-25.56538157,102.6814617,1,1,1,0,0,1
result.337,5.914634506,0.931696148,2.277840695,-1.306275267,-11.82157866,92.20871355,1,1,1,1,1,1
result.338,4.641367642,0.94079679,3.357713646,-0.568374258,-6.413415832,101.3803962,1,1,1,1,1,1
result.339,3.327686934,0.917457456,3.295215201,-2.181169771,-24.12967554,104.1450616,0,1,1,0,0,1
result.340,3.810832725,0.923995429,3.96776151,0.134063956,-4.091041872,90.56792996,1,1,1,1,1,0
result.341,6.448796304,0.827949934,3.156722445,-2.426117678,-23.12573041,108.845945,1,1,1,0,0,1
result.342,4.958609448,0.895128053,3.703138229,0.293920726,-4.745647839,103.1251419,1,1,1,1,1,1
result.343,4.580358503,0.910627205,3.037365859,-2.143131424,-22.09853893,100.9099747,1,1,1,0,0,1
result.344,5.439056448,0.930483973,2.487589181,-2.540299043,-25.87572186,94.40375697,1,1,1,1,1,1
result.345,6.039270065,0.861105602,2.201315882,-2.317866062,-26.24525245,99.33120334,1,1,1,0,0,1
result.346,5.272800372,0.852810976,3.586966205,-2.593415999,-26.16224023,101.6499597,1,1,1,0,0,1
result.347,3.726764386,0.976625717,1.973412218,-1.857634631,-17.95162381,93.18864571,1,0,1,1,1,1
result.348,5.219163604,0.854042715,3.234030426,-2.386768538,-25.547591,105.5010506,1,1,1,0,0,1
result.349,4.263105383,0.901883882,1.787703958,-2.27893459,-23.93170817,95.1378417,1,1,1,0,0,1
result.350,5.778273416,0.824876323,3.567929334,-2.839625082,-25.37528087,98.15166038,1,1,1,0,0,1
result.351,4.91842704,0.923154633,2.510099539,-2.458903765,-27.60601479,100.6677253,1,1,1,0,0,1
result.352,6.272459798,0.874213436,2.34279544,-2.464007643,-27.59708321,93.2550076,1,1,1,0,0,1
result.353,5.288652987,0.898862801,3.846578793,-0.087776673,-5.205602832,103.9730345,1,1,1,1,1,1
result.354,4.097322739,0.892653632,4.414105673,-2.806425566,-25.39052905,91.99316388,1,1,1,0,0,1
result.355,4.898496722,0.915838984,3.784214487,-2.78813031,-28.03273732,102.6251328,1,1,1,1,1,1
result.356,3.136972119,0.917423646,3.730668296,-2.492404664,-24.74155841,103.2560602,0,1,1,0,0,1
result.357,7.19235675,0.87077484,2.428474403,-0.30529773,-5.966529865,89.60970761,1,1,1,1,1,0
result.358,4.047403517,0.846704377,2.466699581,-2.307566313,-24.20430723,102.9284842,1,1,1,0,0,1
result.359,3.077462013,0.896014404,2.044947344,-2.381794242,-27.12963225,113.5822717,1,1,1,0,0,1
result.360,4.786671889,0.898011767,1.843310215,-2.207307622,-26.02765841,104.6768292,1,1,1,0,0,1
result.361,4.533742007,0.861485639,3.145005766,-2.338528651,-26.54668219,105.2273297,1,1,1,0,0,1
result.362,5.834073551,0.854391805,3.17326256,-2.717154933,-26.66212494,97.94573989,1,1,1,0,0,1
result.363,5.004404002,0.888766268,3.995603113,-0.079254636,-5.537242567,94.17361986,1,1,1,1,1,1
result.364,6.164759838,0.889317822,1.954516509,-2.562145147,-24.68886057,102.4218537,1,1,1,0,0,1
result.365,3.650953739,0.95599676,2.690325297,-2.127462358,-25.99588672,100.139134,1,0,1,1,1,1
result.366,6.165665474,0.89076504,2.573628411,-0.397338459,-8.448339583,93.7041586,1,1,1,1,1,1
result.367,4.648321278,0.936302772,2.976734631,-0.45463116,-2.479840332,104.7576095,1,1,1,1,1,1
result.368,6.471054668,0.920423303,2.831368283,-0.659984373,-7.156640273,97.53163548,1,1,1,1,1,1
result.369,5.466912467,0.912528987,1.801101953,0.649183763,9.294544231,101.2445747,1,1,1,1,1,1
result.370,5.157694385,0.887109188,2.026115185,-2.168410391,-25.73224118,89.12086305,1,1,1,0,0,0
result.371,5.7074669,0.874328633,4.710143223,-0.210979689,-6.815029571,101.3623738,1,1,1,1,1,1
result.372,5.079372041,0.896402658,2.821748678,-2.373774401,-26.26168744,99.18836144,1,1,1,0,0,1
result.373,3.601940773,0.975049792,3.164826135,-1.596067303,-12.30500229,100.243335,1,0,1,1,1,1
result.374,4.319333479,0.946009445,4.368463349,-0.640248361,-8.935873298,87.1598087,1,1,1,1,1,0
result.375,5.428576139,0.9327927,3.241467409,-3.004243259,-29.23119697,95.14395438,1,1,1,1,1,1
result.376,5.037536018,0.979014557,3.615737861,-2.201018535,-19.78230244,93.74831777,1,0,1,1,1,1
